spots_genename,spots_coords_1,spots_coords_2,spots_score,idx
Tmsb10,14448,23349,0.979535596608794,3135
Nrsn1,14894,23350,0.986164149692944,3135
Cryab,14433,23354,0.964632130667326,3135
Id2,14673,23358,0.989422000076538,287
Aldoc,14647,23360,0.975137194909681,287
Tmsb10,14892,23362,0.950368969250889,3135
6330403K07Rik,14678,23363,0.95731739532311,287
Plp1,14589,23365,0.967726238678185,3135
3110035E14Rik,14752,23367,0.988961544700412,3135
Neurod6,14917,23372,0.969192318054082,3135
Slc6a1,14656,23373,0.971027605501269,287
Fxyd6,14853,23375,0.965612673135631,3135
Cplx2,14667,23376,0.942601940277907,287
Gad1,14653,23377,0.984147236414916,287
Cplx2,14398,23378,0.948251821865184,3135
Pcp4,14634,23378,0.987795463518782,287
Id2,14659,23379,0.94575459995847,287
Pvalb,14801,23384,0.979269873581323,3135
Enpp2,14610,23395,0.98008823445567,304
Plp1,14615,23395,0.963730548403121,304
Nrsn1,14786,23396,0.901746562169058,3135
Plp1,14608,23397,0.967419894475537,304
Plp1,14616,23397,0.972482174619291,304
Plp1,14611,23398,0.966066757386383,304
Enpp2,14617,23401,0.965578633762018,304
Tmsb10,14836,23403,0.972139764268047,3135
Id2,14519,23405,0.964350859304686,303
Enc1,14744,23405,0.98864220259107,3135
Slc6a1,14759,23405,0.969805619648887,301
Aldoc,14342,23406,0.992939815703071,308
Plp1,14616,23407,0.969189637670985,304
Cdh13,14909,23407,0.981742703139838,3135
Plp1,14612,23408,0.944435487625845,304
Slc24a2,14590,23409,0.934796609164871,304
Cryab,14801,23409,0.953783952290127,3135
Cplx2,14945,23411,0.933885186995119,3135
Enpp2,14605,23414,0.967780065702867,304
Satb1,14649,23414,0.981778494594418,3135
Cryab,14611,23415,0.953877616301199,304
Cryab,14590,23416,0.97533311295366,304
Tmsb10,14985,23424,0.982638922041184,3135
Id2,14446,23427,0.989848138898381,307
Gad1,14332,23429,0.956291198418889,3135
Aldoc,14779,23430,0.98835007504729,3135
Hapln1,14452,23431,0.972350252380524,307
Lamp5,14304,23432,0.968622198733192,317
Id2,14315,23436,0.97029137154591,317
Aldoc,14711,23436,0.980444279178985,3135
Nrsn1,14439,23437,0.986942788350793,3135
Gad1,14299,23441,0.958589414898572,326
Ndnf,14318,23444,0.977949843432905,326
Gad1,14310,23446,0.974364032109877,326
Gad1,14315,23446,0.937753779230074,326
Trp53i11,14297,23448,0.942038300487179,3135
Cxcl14,14324,23450,0.994998960405507,326
Cryab,14880,23450,0.982456365019822,328
Gad1,14307,23453,0.968360545162147,326
Rgs12,14865,23453,0.988650077160611,328
Id2,14738,23455,0.989784307687568,3135
Ndnf,14318,23456,0.974587649822806,326
Gad1,14323,23456,0.978259923674905,326
Gad1,14313,23457,0.91723229676205,326
Gad1,14322,23457,0.984090576486984,326
Gad1,14307,23459,0.983056772428182,326
Reln,14292,23462,0.968502010784589,326
Gad1,14319,23462,0.957831402380743,326
Reln,14304,23463,0.924275726128175,326
Gap43,14763,23463,0.986749486851053,3135
Nrsn1,14836,23463,0.989467996803323,3135
Gad1,14331,23466,0.957584998263274,326
Tmsb10,14476,23466,0.959195886894402,3135
Ndnf,14289,23467,0.991855557811746,347
Ndnf,14317,23468,0.911819578524374,326
Fxyd6,14384,23468,0.947001085013759,332
Crym,14829,23468,0.983251662549415,3135
Ndnf,14839,23469,0.991439361429332,3135
Aldoc,14861,23469,0.984543182974754,328
3110035E14Rik,14408,23471,0.960616374939925,332
Lamp5,14289,23472,0.917901810689349,347
Rgs4,14290,23473,0.943600562034438,347
Kit,14310,23473,0.991141767747838,326
3110035E14Rik,14404,23473,0.985917452088398,332
Cryab,14646,23475,0.972208610242724,340
Aldoc,14425,23477,0.981467778241294,332
Aldoc,14747,23480,0.942660530651082,341
Gad1,14294,23481,0.97875911861316,347
Enpp2,14520,23481,0.973516797496163,346
Plp1,14524,23482,0.950072524069334,346
Cxcl14,14638,23482,0.97226775761274,340
Nov,14813,23482,0.972461840106939,3135
Gad1,14302,23483,0.983220784966694,347
Plp1,14517,23484,0.954484419178603,346
Fxyd6,14283,23485,0.956512995185296,347
Grin3a,14666,23486,0.973493900619437,340
Cryab,14956,23486,0.981432590258124,3135
Gad1,14289,23489,0.94389582577696,347
Lamp5,14279,23491,0.972788360417903,347
Vip,14934,23491,0.972024105231531,3135
Gap43,14947,23491,0.986880846348249,3135
Cplx2,14388,23493,0.958359918427902,3135
Satb1,14519,23493,0.962022414813099,346
Plp1,14555,23493,0.96717002649201,3135
Aldoc,14642,23493,0.983769404796183,340
Cplx2,14831,23493,0.940765034077526,3135
Cplx2,14417,23494,0.909225626969367,3135
Kit,14975,23495,0.982185913039276,343
Aldoc,14641,23496,0.948433167631619,340
Penk,14982,23498,0.95404292095745,343
6330403K07Rik,14314,23500,0.903259642464459,3135
Cxcl14,14755,23502,0.934533442765261,341
Cryab,14629,23506,0.987131247774219,3135
Cplx2,14615,23513,0.927766257310039,3135
Cadps2,14688,23513,0.978116703698484,354
Cplx2,14843,23514,0.93305713324942,3135
Cplx2,14628,23516,0.94714687770577,3135
Pcp4,14616,23518,0.968292563468566,3135
Bcl11b,14950,23520,0.983874475030354,3135
Plp1,14412,23528,0.957392575306181,3135
Pcp4,14684,23538,0.976659403551493,3135
Aldoc,14763,23538,0.990146229634805,3135
Tmsb10,14349,23541,0.93448636358348,3135
Plp1,14471,23541,0.945539023286439,3135
Cplx2,14554,23546,0.946158416343893,3135
Gap43,14434,23550,0.908931701810632,375
Cplx2,14261,23556,0.936590501688078,373
Scg2,14561,23556,0.938720559527194,3135
Calm2,14256,23560,0.959953448264198,373
Cplx2,14335,23560,0.960938231936325,3135
Cplx2,14505,23565,0.946327180043665,384
Wfs1,14512,23566,0.937558769860709,384
6330403K07Rik,14541,23569,0.944732785404615,386
Nrsn1,14739,23571,0.98579240154266,3135
Cplx2,14511,23577,0.935805485546896,384
Pcp4,14547,23579,0.980450808529521,386
6330403K07Rik,14267,23582,0.93511099165662,3135
Cplx2,14444,23584,0.953213342680362,3135
Cadps2,14532,23584,0.969749236441312,3135
6330403K07Rik,14250,23586,0.930983708154537,389
6330403K07Rik,14270,23588,0.953340335367002,3135
Rorb,14374,23588,0.973820218524027,3135
Cplx2,14563,23589,0.948660060261417,3135
Rgs4,14227,23590,0.972378464434426,389
Cryab,14410,23594,0.982772394614116,402
Enc1,14955,23595,0.9860194679725,3135
Plcxd2,14873,23596,0.922140366677246,400
Hapln1,14876,23599,0.987270223677929,400
Pde1a,14239,23602,0.987332489916032,389
Id2,14390,23603,0.977372566215897,402
6330403K07Rik,14575,23603,0.943335710089234,3135
Aldoc,14752,23603,0.979336312971691,3135
Cxcl14,14394,23604,0.91714352942196,402
Htr3a,14887,23605,0.974228282270796,400
Cxcl14,14925,23605,0.979595910112014,3135
Aldoc,14388,23607,0.995271149479157,402
Penk,14864,23608,0.987101973881499,400
Aldoc,14434,23612,0.972929700172175,3135
Plp1,14967,23612,0.915760943097517,407
Hapln1,14308,23613,0.958979927402801,3135
Calb2,14884,23613,0.988686598614994,400
Cnr1,14881,23614,0.982506588955773,400
Id2,14381,23615,0.979465349565492,402
Rgs4,14221,23616,0.967882189722131,409
Id2,14391,23617,0.988655849132262,402
Cplx2,14579,23617,0.958772443527899,3135
Rgs4,14211,23619,0.983998418200165,409
Kctd12,14236,23627,0.968897066828912,409
Wfs1,14672,23627,0.905276643362784,3135
Cplx2,14872,23629,0.944942722626808,400
Nrn1,14432,23636,0.966053242439153,3135
Plp1,14749,23639,0.968644615516861,423
Satb1,14452,23640,0.97807681355728,3135
Plp1,14768,23643,0.980655974068825,423
Plp1,14769,23644,0.967405943911288,423
Cplx2,14923,23644,0.944557050389369,3135
Plp1,14745,23645,0.968248143329772,423
Prkca,14912,23645,0.984194161965077,3135
Aldoc,14781,23648,0.962058826386952,3135
Plp1,14768,23649,0.968306597951302,423
Plp1,14745,23651,0.969300289020695,423
Nrsn1,14818,23651,0.987600252438865,3135
Tmsb10,14248,23656,0.963113365995689,3135
Pcp4,14909,23658,0.977233921051882,3135
Vip,14658,23661,0.983988827555318,432
Cplx2,14621,23662,0.948862605453053,3135
Gad1,14662,23662,0.982408011483495,432
Plp1,14762,23663,0.906437537642774,423
Penk,14664,23664,0.9832090841952,432
Aldoc,14476,23665,0.980653530281008,3135
Aldoc,14642,23665,0.965871842136823,432
Synpr,14652,23665,0.924742801875227,432
Plp1,14756,23666,0.955323643215657,423
Vip,14640,23669,0.984777922202697,432
Fxyd6,14665,23671,0.983354437300881,432
Cplx2,14761,23672,0.9297882522195,3135
Tmsb10,14954,23672,0.980898617820635,434
Id2,14465,23673,0.911235826481513,3135
Cplx2,14771,23682,0.926466596345698,3135
3110035E14Rik,14344,23685,0.995691408220219,3135
Enpp2,14467,23685,0.920107151505426,444
Cplx2,14866,23685,0.952699787583514,3135
Cplx2,14224,23688,0.949717046183881,3135
Cplx2,14240,23688,0.930180647285821,3135
Enpp2,14468,23688,0.956718370042904,444
Plp1,14474,23689,0.971292801306667,444
Plp1,14435,23691,0.974492516009936,447
Enpp2,14481,23692,0.966662913238489,444
Plp1,14489,23692,0.978447716951367,444
Plp1,14461,23693,0.946601136216531,445
Cryab,14440,23697,0.97760557320998,447
Cryab,14463,23697,0.957617261433456,445
Plp1,14473,23698,0.958944203555579,445
Aldoc,14693,23698,0.93184291562636,3135
Satb1,14464,23700,0.986609905147873,445
Plp1,14648,23702,0.984925268881022,453
Plp1,14646,23705,0.968222028298685,453
Plp1,14635,23706,0.977674771527087,450
Cryab,14659,23707,0.969048635218463,453
Nrsn1,14897,23708,0.985094685873917,3135
Plp1,14615,23709,0.931383742228418,450
Plp1,14649,23709,0.963244429066647,453
Plp1,14633,23710,0.966690747661539,450
Plp1,14650,23710,0.97417790124987,453
Plp1,14662,23710,0.964651679174511,453
Rorb,14811,23710,0.973228699337026,3135
Plp1,14632,23712,0.974283952992853,450
Slc24a2,14643,23712,0.92048670480011,453
Plp1,14664,23715,0.957729679777415,453
Cplx2,14872,23715,0.934398633255577,3135
Nrsn1,14394,23717,0.962009403217514,3135
Plp1,14641,23717,0.968337794998527,453
Plp1,14659,23717,0.981599673623647,453
Cryab,14668,23717,0.986499011818083,453
Cplx2,14835,23717,0.935162460517589,3135
Aldoc,14244,23718,0.978739625056087,454
Cplx2,14618,23719,0.938605195413029,450
Plp1,14638,23719,0.942779521106471,450
Plp1,14652,23719,0.96889478439297,453
Plp1,14653,23720,0.960155965606348,453
Plp1,14654,23721,0.966724834489442,453
Id2,14804,23721,0.98754925996245,3135
Plp1,14648,23724,0.96721429198828,453
Plp1,14668,23725,0.983324344372267,453
Plp1,14653,23727,0.954858698750684,453
Ntng1,14203,23734,0.983502472610719,457
Nrsn1,14212,23735,0.980331225260863,457
Aldoc,14190,23741,0.983621073072534,462
Cryab,14648,23741,0.96144401933629,453
Id2,14818,23743,0.987461796447294,3135
Aldoc,14818,23747,0.969351519255408,3135
Nrsn1,14932,23748,0.949044785261428,3135
Aldoc,14864,23752,0.957116508776692,3135
Cplx2,14215,23762,0.935448013445826,481
Enpp2,14706,23762,0.976551246743068,487
Id2,14387,23763,0.951873434938482,475
Id2,14193,23766,0.966072194003185,481
Plp1,14723,23766,0.958861164567419,487
Scg2,14254,23767,0.90994163346628,486
Tmsb10,14851,23767,0.981656007851476,3135
Gad1,14262,23768,0.905731324432064,486
Atp1b1,14838,23768,0.984997906428087,3135
Plp1,14712,23769,0.967452922151452,487
Plp1,14719,23769,0.977170883327324,487
Cnr1,14242,23770,0.904642082305054,486
Penk,14251,23770,0.972931983999247,486
Gad1,14836,23770,0.960437441072023,3135
Enpp2,14715,23771,0.979614917490027,487
Plp1,14721,23771,0.976529383319116,487
Plp1,14725,23771,0.970743840201214,487
Ndnf,14238,23772,0.980433061763399,486
Rgs4,14255,23772,0.966460833599474,486
Cck,14852,23772,0.980382501774918,3135
Plp1,14733,23773,0.961472396324037,487
Col25a1,14981,23773,0.979021822527669,3135
Tmsb10,14836,23774,0.986067328000633,3135
Gad1,14256,23776,0.948540130561246,486
Plp1,14719,23776,0.972747307937164,487
Gad1,14842,23776,0.986988816115868,3135
Cnr1,14239,23778,0.941131051765963,486
Cryab,14946,23778,0.979870047297259,3135
Aldoc,14263,23779,0.983397516643524,486
Penk,14244,23780,0.982778795087142,486
Cryab,14727,23780,0.934757758918425,487
Nrsn1,14863,23780,0.97402261369992,3135
Id2,14201,23781,0.974509064140546,481
Wfs1,14576,23781,0.969422375701464,3135
Satb1,14714,23781,0.984696647422948,487
Gad1,14240,23782,0.925754427848563,486
Tmsb10,14189,23783,0.961204888836579,481
Cplx2,14202,23784,0.955084346581896,481
Tmsb10,14739,23784,0.962387648231496,487
Ndnf,14238,23785,0.988044364730817,486
Gad1,14263,23786,0.969610950075524,486
Id2,14183,23787,0.975517263322271,481
Rgs12,14251,23788,0.989659660974728,486
Reln,14241,23789,0.973757557672973,486
Reln,14906,23791,0.933261507476249,3135
Nrsn1,14958,23791,0.991156021978433,3135
Reln,14247,23792,0.931353449193676,486
Penk,14241,23793,0.922608818361048,486
Reln,14250,23793,0.940964823744966,486
Cck,14905,23795,0.976342631240958,3135
Cnr1,14903,23796,0.979764437084998,3135
Col25a1,14931,23797,0.92307145902722,3135
Gad1,14249,23798,0.986558189124995,486
Nrsn1,14688,23801,0.978620889940289,3135
Arpp21,14391,23802,0.980982429968927,3135
Sema3c,14931,23803,0.962106805010895,3135
Cxcl14,14278,23806,0.961252397917233,3135
Cadps2,14901,23807,0.984399617137111,3135
Plp1,14528,23809,0.949410643023815,3135
Aldoc,14549,23809,0.955688894772623,3135
Enpp2,14629,23812,0.963343401410863,3135
Satb1,14728,23812,0.989887121298123,3135
Cnr1,14931,23813,0.928803556600877,3135
Cplx2,14650,23814,0.951621138825046,510
